
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","73","74","77","78","76","76","77","70","68","66","64","61","61","64","64","66","70","74","77","78","77","--","78","80","72"
"02","83","85","85","86","83","84","82","74","68","63","63","61","63","65","69","73","80","83","84","86","86","87","87","87","78"
"03","87","88","91","92","92","92","86","80","70","74","74","74","72","72","73","--","79","81","83","88","91","93","94","94","83"
"04","95","96","97","97","98","98","99","98","86","79","72","77","77","77","78","74","78","82","85","89","89","92","91","87","87"
"05","86","87","79","81","88","87","82","77","74","74","73","73","71","71","71","73","79","80","83","80","78","79","78","80","79"
"06","78","78","78","79","76","75","73","69","69","67","64","68","66","65","65","68","69","70","68","69","73","73","76","75","71"
"07","73","71","73","75","79","73","71","69","66","62","59","62","64","65","64","68","71","--","67","66","68","66","69","70","68"
"08","72","72","68","70","73","69","68","63","62","62","59","60","61","61","64","64","69","69","72","75","76","76","78","75","68"
"09","76","74","74","74","78","79","75","72","66","64","63","65","62","64","64","73","76","74","72","67","--","74","77","79","72"
"10","80","83","84","85","84","85","80","73","68","67","66","66","67","73","74","77","79","80","82","80","81","82","83","84","78"
"11","85","86","87","87","88","89","85","79","70","70","68","70","71","76","77","80","84","87","88","89","89","90","91","91","82"
"12","93","93","93","93","93","92","89","87","85","79","79","77","78","77","79","81","--","88","88","90","90","91","92","92","87"
"13","92","92","92","92","92","91","90","85","79","76","70","69","68","72","77","77","84","87","87","86","88","88","89","89","84"
"14","90","92","93","93","92","93","91","81","72","69","69","73","74","76","77","78","81","83","84","83","84","85","88","85","83"
"15","86","86","84","86","84","84","82","77","70","66","64","62","58","58","68","--","82","84","84","84","84","85","85","87","78"
"16","88","91","92","93","94","96","95","83","76","71","62","66","68","69","73","78","84","85","86","85","85","84","84","85","82"
"17","84","86","86","83","82","85","81","73","69","65","66","66","69","71","72","76","79","82","83","83","84","82","81","82","78"
"18","81","82","83","82","84","84","--","79","74","71","69","70","70","73","78","79","79","80","80","79","80","81","82","83","79"
"19","82","79","80","82","78","78","77","76","72","71","68","67","67","71","73","77","79","81","79","80","81","81","82","84","77"
"20","84","83","82","80","80","82","80","78","70","70","67","66","67","72","75","--","83","86","87","85","88","88","88","87","80"
"21","87","88","89","88","88","89","89","87","86","82","81","83","83","83","82","84","88","90","91","91","92","91","91","91","87"
"22","90","90","91","89","88","86","86","84","83","80","80","78","X","80","82","82","81","80","79","--","81","81","78","74","80"
"23","79","83","82","78","79","80","82","80","76","70","71","71","71","70","69","72","73","75","75","74","71","68","67","68","74"
"24","69","69","70","68","69","68","74","75","76","71","68","63","63","67","67","69","69","67","70","71","70","70","72","73","69"
"25","73","72","74","77","78","80","75","68","63","57","65","58","63","63","69","74","78","80","80","80","80","81","83","83","73"
"26","83","84","84","84","85","86","84","78","69","65","61","64","68","70","74","76","80","81","81","82","80","79","79","79","77"
"27","80","82","83","84","85","89","84","78","72","65","64","62","65","69","73","77","79","81","78","80","81","82","83","85","78"
"28","87","87","86","87","89","89","85","77","70","73","73","71","73","76","77","81","85","87","87","87","87","87","86","85","82"
"29","86","86","87","86","88","85","84","82","80","78","75","72","70","73","76","77","80","81","80","80","81","80","79","80","80"
"30","79","79","78","78","76","75","74","72","67","66","65","64","64","65","65","69","66","69","71","68","70","69","69","68","70"
"31","65","63","63","66","65","66","64","64","61","56","54","53","59","61","66","67","71","78","78","79","75","78","78","82","67"
"平均","82","83","83","83","83","83","81","77","72","69","68","67","68","70","72","75","78","80","80","80","81","81","82","82","平均"
