
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.82","1.67","2.49","2.86","3.10","2.99","2.69","2.16","1.48","0.67","0.09","0.00","0.00","0.00","--","0.00","0.00","21.12"
"02","0.00","0.00","0.00","0.00","0.00","0.00","0.26","1.00","1.78","2.49","2.83","3.07","3.00","2.76","2.23","1.53","0.73","0.12","0.00","0.00","0.00","0.00","0.00","0.00","21.80"
"03","0.00","0.00","0.00","0.00","0.00","0.01","0.31","0.96","1.75","2.45","2.86","3.16","3.11","2.77","2.25","--","0.73","0.12","0.00","0.00","0.00","0.00","0.00","0.00","21.98"
"04","0.00","0.00","0.00","0.00","0.00","0.00","0.16","0.61","1.52","2.34","2.88","3.14","3.11","2.80","2.28","1.56","0.76","0.12","0.00","0.00","0.00","0.00","0.00","0.00","21.29"
"05","0.00","0.00","0.00","0.00","0.00","0.00","0.22","1.00","1.81","2.46","2.90","3.15","3.11","2.73","2.17","1.44","0.61","0.09","0.00","0.00","0.00","0.00","0.00","0.00","21.69"
"06","0.00","0.00","0.00","0.00","0.00","0.00","0.25","0.98","1.74","2.46","2.91","3.11","3.08","2.74","2.22","1.49","0.66","0.09","0.00","0.00","0.00","0.00","0.00","0.00","21.73"
"07","0.00","0.00","0.00","0.00","0.00","0.00","0.22","0.87","1.78","2.46","2.89","3.01","2.92","2.70","2.18","1.44","0.62","--","0.00","0.00","0.00","0.00","0.00","0.00","21.17"
"08","0.00","0.00","0.00","0.00","0.00","0.00","0.14","0.82","1.56","2.32","2.50","2.33","2.56","2.52","2.14","1.40","0.57","0.07","0.00","0.00","0.00","0.00","0.00","0.00","18.93"
"09","0.00","0.00","0.00","0.00","0.00","0.00","0.25","0.76","1.70","1.85","2.84","3.04","3.00","2.62","2.17","1.43","0.64","0.07","0.00","0.00","--","0.00","0.00","0.00","20.37"
"10","0.00","0.00","0.00","0.00","0.00","0.00","0.26","0.97","1.82","2.50","2.75","3.08","3.00","2.66","2.16","1.45","0.64","0.07","0.00","0.00","0.00","0.00","0.00","0.00","21.38"
"11","0.00","0.00","0.00","0.00","0.00","0.00","0.28","0.99","1.82","2.50","2.85","3.05","3.05","2.29","1.85","1.43","0.57","0.06","0.00","0.00","0.00","0.00","0.00","0.00","20.75"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.19","0.68","0.95","2.24","2.54","1.48","2.05","2.24","2.15","1.32","--","0.05","0.00","0.00","0.00","0.00","0.00","0.00","16.44"
"13","0.00","0.00","0.00","0.00","0.00","0.00","0.11","0.52","1.15","2.20","2.88","2.98","2.81","2.51","2.14","1.26","0.58","0.03","0.00","0.00","0.00","0.00","0.00","0.00","19.19"
