
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","0.5 / 150","0.8 / 150","1.0 / 180","1.5 / 170","0.3 / 250","0.6 / 220","0.6 / 150","0.8 / 150","0.9 / 270","1.2 / 250","1.6 / 260","1.4 / 250","2.0 / 250","1.6 / 240","2.3 / 250","2.0 / 260","1.4 / 270","0.6 / 260","0.4 / 220","0.4 / 150","0.0 / 0","0.4 / 200","0.9 / 140","0.9 / 150","1.0"
"02","0.4 / 230","0.3 / 230","0.0 / 0","0.8 / 120","0.6 / 160","0.0 / 0","0.6 / 100","0.5 / 120","0.6 / 260","1.1 / 260","1.6 / 270","1.4 / 270","2.0 / 270","2.0 / 280","1.9 / 280","1.4 / 280","2.2 / 320","2.3 / 310","1.4 / 320","1.1 / 310","1.1 / 330","0.4 / 110","0.4 / 80","1.3 / 340","1.1"
"03","3.3 / 330","1.9 / 360","1.6 / 30","1.8 / 50","1.8 / 60","1.2 / 60","1.2 / 50","1.6 / 60","2.7 / 30","2.8 / 30","1.6 / 40","4.0 / 330","3.5 / 330","3.3 / 320","2.8 / 340","2.5 / 330","2.7 / 330","2.0 / 50","2.0 / 40","1.9 / 50","0.7 / 70","1.7 / 20","2.9 / 360","3.6 / 10","2.3"
"04","3.8 / 10","2.8 / 10","3.5 / 20","2.4 / 40","2.2 / 50","2.2 / 40","1.8 / 50","3.4 / 30","5.1 / 30","4.8 / 30","5.0 / 20","4.7 / 30","5.8 / 30","7.3 / 20","6.9 / 20","6.7 / 30","5.8 / 30","6.6 / 20","6.3 / 30","6.6 / 30","6.0 / 30","6.5 / 30","6.9 / 30","6.0 / 40","5.0"
"05","6.2 / 30","6.4 / 30","5.5 / 40","6.0 / 40","6.6 / 30","6.2 / 40","6.2 / 40","6.0 / 40","6.8 / 30","6.2 / 30","7.2 / 30","6.8 / 30","5.2 / 30","5.7 / 30","5.4 / 30","5.6 / 30","6.2 / 20","5.5 / 20","5.3 / 30","5.6 / 30","4.6 / 30","4.4 / 40","3.9 / 40","3.8 / 40","5.7"
"06","4.2 / 40","4.3 / 40","4.4 / 40","3.8 / 40","4.3 / 40","4.2 / 40","2.7 / 60","2.5 / 40","1.6 / 30","3.6 / 20","4.4 / 30","5.3 / 30","4.5 / 20","5.2 / 20","5.6 / 20","4.0 / 10","4.6 / 10","5.4 / 30","6.8 / 20","7.1 / 30","5.0 / 30","5.3 / 30","4.7 / 40","3.9 / 40","4.5"
"07","4.1 / 40","4.0 / 30","4.0 / 40","3.6 / 40","4.2 / 40","4.0 / 40","3.2 / 50","1.7 / 40","2.7 / 40","3.3 / 40","3.1 / 40","3.4 / 40","2.8 / 30","3.6 / 20","3.8 / 20","4.5 / 30","3.8 / 30","3.7 / 30","3.8 / 40","3.0 / 40","3.6 / 40","2.7 / 40","2.2 / 40","1.6 / 50","3.4"
"08","1.3 / 50","0.6 / 80","0.6 / 70","1.1 / 60","2.6 / 30","1.5 / 60","1.6 / 70","2.1 / 50","2.2 / 40","4.0 / 30","4.3 / 30","5.0 / 20","4.3 / 20","4.7 / 10","4.0 / 360","5.0 / 360","7.6 / 20","7.0 / 30","7.6 / 20","7.2 / 30","8.1 / 20","5.9 / 40","6.0 / 30","5.6 / 30","4.2"
"09","6.1 / 30","5.4 / 40","3.7 / 40","5.2 / 40","5.0 / 40","3.5 / 50","4.1 / 40","5.6 / 40","5.6 / 40","5.5 / 40","5.9 / 40","6.8 / 30","6.4 / 30","8.1 / 30","8.3 / 30","7.5 / 30","6.4 / 30","6.0 / 30","5.7 / 30","4.4 / 40","5.1 / 30","5.6 / 40","4.3 / 40","2.6 / 50","5.5"
"10","2.4 / 50","2.2 / 40","3.0 / 40","2.8 / 60","2.2 / 40","2.0 / 40","1.8 / 40","2.2 / 50","2.2 / 40","4.6 / 20","5.2 / 30","4.9 / 20","6.9 / 20","6.8 / 30","6.3 / 20","7.1 / 20","6.0 / 20","6.7 / 30","5.3 / 30","5.1 / 40","5.2 / 30","4.0 / 40","4.0 / 30","2.6 / 50","4.2"
